Hist	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut
1	0	0	0	0	0	0	1	-0	0	0
2	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
3	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
4	1	1	26	36	7	201	0.286167	1.25118	3.63772e-06	1.27119e-05
5	1	1	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
6	0	0	0	0	0	0	1	-0	0	0
7	4	3	93	136	23	2023	1.40712e-05	11.1714	1.62052e-09	0.000115165
8	0	0	0	0	0	0	1	-0	0	0
9	2	0	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
10	0	0	0	0	0	0	1	-0	0	0
11	2	2	0	0	0	0	1	-0	0	0
12	1	1	5	5	5	0	0.969088	0.0314	2.73513e-07	2.82238e-07
13	3	1	6	6	5	1	0.958122	0.04278	3.7541e-07	3.91819e-07
14	1	0	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
15	0	0	0	0	0	0	1	-0	0	0
16	2	1	7	7	4	6	0.928152	0.07456	6.62638e-07	7.13932e-07
17	0	0	0	0	0	0	1	-0	0	0
18	2	2	5	6	5	1	0.958122	0.04278	3.7541e-07	3.91819e-07
19	0	0	0	0	0	0	1	-0	0	0
20	2	1	56	89	9	3240	3.8105e-08	17.0829	6.75127e-12	0.000177175
21	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
22	2	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
23	1	1	20	23	12	29	0.746515	0.29234	2.11947e-06	2.83916e-06
24	0	0	0	0	0	0	1	-0	0	0
25	1	1	6	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
26	0	0	0	0	0	0	1	-0	0	0
27	1	1	34	64	7	524	0.046221	3.07432	1.45386e-06	3.14544e-05
28	0	0	0	0	0	0	1	-0	0	0
29	1	1	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
30	1	0	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
31	1	1	38	52	5	809	0.0116499	4.45246	5.34963e-07	4.592e-05
32	1	1	9	9	4	11	0.89349	0.11262	9.76132e-07	1.09249e-06
33	0	0	0	0	0	0	1	-0	0	0
34	2	2	20	30	9	231	0.254998	1.3665	3.56161e-06	1.39672e-05
35	0	0	0	0	0	0	1	-0	0	0
36	6	4	39	54	21	245	0.204207	1.58862	3.28075e-06	1.60658e-05
37	0	0	0	0	0	0	1	-0	0	0
38	2	2	28	37	7	298	0.173399	1.75216	3.1077e-06	1.79223e-05
39	1	1	9	9	8	1	0.94024	0.06162	5.27627e-07	5.61162e-07
40	4	1	23	24	22	3	0.847029	0.16602	1.28252e-06	1.51414e-06
41	2	1	20	27	11	94	0.522589	0.64896	3.40655e-06	6.51861e-06
42	0	0	0	0	0	0	1	-0	0	0
43	2	2	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
44	0	0	0	0	0	0	1	-0	0	0
45	3	2	10	10	9	1	0.934354	0.0679	5.77066e-07	6.17609e-07
46	0	0	0	0	0	0	1	-0	0	0
47	2	2	33	52	10	433	0.0792728	2.53486	2.05649e-06	2.5942e-05
48	1	1	6	6	5	1	0.958122	0.04278	3.7541e-07	3.91819e-07
49	2	1	5	6	3	6	0.933999	0.06828	6.1409e-07	6.57485e-07
50	1	1	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
51	0	0	0	0	0	0	1	-0	0	0
52	1	1	17	23	8	93	0.538623	0.61874	3.36083e-06	6.23968e-06
53	0	0	0	0	0	0	1	-0	0	0
54	1	1	6	6	6	0	0.963021	0.03768	3.26161e-07	3.38686e-07
55	0	0	0	0	0	0	1	-0	0	0
56	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
57	1	0	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
58	1	1	8	10	4	21	0.843749	0.1699	1.41773e-06	1.68027e-06
59	1	1	0	0	0	0	1	-0	0	0
60	0	0	0	0	0	0	1	-0	0	0
61	3	3	70	132	19	1306	0.000558889	7.48956	4.29467e-08	7.6843e-05
62	0	0	0	0	0	0	1	-0	0	0
63	2	2	11	15	5	26	0.79708	0.2268	1.77604e-06	2.22818e-06
64	1	1	0	0	0	0	1	-0	0	0
65	4	4	37	47	19	160	0.329177	1.11116	3.67175e-06	1.11543e-05
66	2	2	6	6	5	1	0.958122	0.04278	3.7541e-07	3.91819e-07
67	0	0	0	0	0	0	1	-0	0	0
68	2	1	7	8	5	4	0.931797	0.07064	6.18819e-07	6.64114e-07
69	0	0	0	0	0	0	1	-0	0	0
70	2	2	14	15	12	4	0.891723	0.1146	9.44554e-07	1.05925e-06
71	0	0	0	0	0	0	1	-0	0	0
72	2	0	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
73	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
74	3	3	11	11	11	0	0.933252	0.06908	5.79478e-07	6.20924e-07
75	1	1	20	29	10	95	0.513441	0.66662	3.43217e-06	6.68463e-06
76	0	0	0	0	0	0	1	-0	0	0
77	1	1	31	48	14	281	0.176481	1.73454	3.11312e-06	1.76399e-05
78	0	0	0	0	0	0	1	-0	0	0
79	1	1	5	5	3	3	0.954374	0.0467	4.21487e-07	4.41638e-07
80	0	0	0	0	0	0	1	-0	0	0
81	1	1	3	3	2	1	0.976344	0.02394	2.17213e-07	2.22476e-07
82	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
83	1	1	17	31	7	205	0.289332	1.24018	3.65779e-06	1.26422e-05
84	1	1	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
85	0	0	0	0	0	0	1	-0	0	0
86	1	0	0	0	0	0	1	-0	0	0
87	0	0	0	0	0	0	1	-0	0	0
88	4	3	76	134	12	3619	4.15722e-09	19.2984	8.30832e-13	0.000199853
89	0	0	0	0	0	0	1	-0	0	0
90	2	2	4	4	3	1	0.970232	0.03022	2.70621e-07	2.78924e-07
91	1	1	59	84	11	2239	6.4824e-06	11.9464	8.01917e-10	0.000123707
92	2	0	6	6	4	3	0.948399	0.05298	4.72383e-07	4.98085e-07
93	2	0	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
94	0	0	0	0	0	0	1	-0	0	0
95	2	1	7	7	6	1	0.952124	0.04906	4.26805e-07	4.48266e-07
96	0	0	0	0	0	0	1	-0	0	0
97	3	3	8	8	6	3	0.936562	0.06554	5.72221e-07	6.1098e-07
98	0	0	0	0	0	0	1	-0	0	0
99	2	2	7	7	5	2	0.947281	0.05416	4.74966e-07	5.014e-07
100	1	0	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
101	2	0	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
102	1	1	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
103	0	0	0	0	0	0	1	-0	0	0
104	1	1	21	35	8	226	0.253498	1.3724	3.54486e-06	1.39838e-05
105	0	0	0	0	0	0	1	-0	0	0
106	1	1	11	12	4	19	0.84176	0.17226	1.41997e-06	1.6869e-06
107	0	0	0	0	0	0	1	-0	0	0
108	1	1	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
109	1	0	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
110	1	1	28	61	3	1711	0.000110645	9.10918	1.04399e-08	9.43542e-05
111	1	1	3	3	2	1	0.976344	0.02394	2.17213e-07	2.22476e-07
112	0	0	0	0	0	0	1	-0	0	0
113	1	0	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
114	0	0	0	0	0	0	1	-0	0	0
115	2	2	6	6	4	2	0.953248	0.04788	4.2415e-07	4.44952e-07
116	0	0	0	0	0	0	1	-0	0	0
117	4	4	43	75	17	935	0.00530291	5.2395	2.85896e-07	5.39131e-05
118	2	2	19	23	9	48	0.677572	0.38924	2.60776e-06	3.84869e-06
119	0	0	0	0	0	0	1	-0	0	0
120	2	1	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
121	0	0	0	0	0	0	1	-0	0	0
122	2	1	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
123	0	0	0	0	0	0	1	-0	0	0
124	2	1	6	6	6	0	0.963021	0.03768	3.26161e-07	3.38686e-07
125	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
126	3	2	9	9	8	1	0.94024	0.06162	5.27627e-07	5.61162e-07
127	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
128	0	0	0	0	0	0	1	-0	0	0
129	1	1	2	2	1	1	0.982495	0.01766	1.63122e-07	1.66028e-07
130	0	0	0	0	0	0	1	-0	0	0
131	1	1	85	143	6	5179	1.37724e-12	27.3109	3.90101e-16	0.000283249
132	0	0	0	0	0	0	1	-0	0	0
133	1	1	28	46	7	338	0.13363	2.01268	2.74685e-06	2.05556e-05
134	1	1	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
135	1	1	4	4	3	1	0.970232	0.03022	2.70621e-07	2.78924e-07
136	1	0	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
137	0	0	0	0	0	0	1	-0	0	0
138	1	1	0	0	0	0	1	-0	0	0
139	0	0	0	0	0	0	1	-0	0	0
140	1	0	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
141	0	0	0	0	0	0	1	-0	0	0
142	5	4	89	150	18	4018	4.91382e-10	21.4338	1.09065e-13	0.000221956
143	2	1	10	10	9	1	0.934354	0.0679	5.77066e-07	6.17609e-07
144	2	1	59	108	10	1360	0.000493376	7.61424	3.86597e-08	7.83575e-05
145	3	3	48	80	11	1226	0.00116504	6.755	8.11533e-08	6.96571e-05
146	0	0	0	0	0	0	1	-0	0	0
147	2	2	20	25	11	40	0.696979	0.361	2.46488e-06	3.53652e-06
148	0	0	0	0	0	0	1	-0	0	0
149	2	1	37	65	3	1617	0.000174271	8.6549	1.56121e-08	8.95855e-05
150	0	0	0	0	0	0	1	-0	0	0
151	2	1	9	9	7	2	0.935457	0.06672	5.74646e-07	6.14295e-07
152	1	1	2	2	1	1	0.982495	0.01766	1.63122e-07	1.66028e-07
153	2	1	37	52	11	565	0.040435	3.20806	1.33256e-06	3.29555e-05
154	1	1	0	0	0	0	1	-0	0	0
155	0	0	0	0	0	0	1	-0	0	0
156	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
157	0	0	0	0	0	0	1	-0	0	0
158	1	1	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
159	0	0	0	0	0	0	1	-0	0	0
160	1	1	8	8	8	0	0.951001	0.05024	4.29454e-07	4.51581e-07
161	1	1	19	22	7	70	0.609473	0.49516	3.0237e-06	4.96117e-06
162	1	1	13	15	10	9	0.869271	0.1401	1.15171e-06	1.32491e-06
163	1	0	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
164	0	0	0	0	0	0	1	-0	0	0
165	1	0	1	1	1	0	0.99374	0.00628	5.60942e-08	5.64476e-08
166	0	0	0	0	0	0	1	-0	0	0
167	1	1	7	7	4	6	0.928152	0.07456	6.62638e-07	7.13932e-07
168	0	0	0	0	0	0	1	-0	0	0
169	3	2	9	9	8	1	0.94024	0.06162	5.27627e-07	5.61162e-07
170	2	2	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
171	4	2	5	5	5	0	0.969088	0.0314	2.73513e-07	2.82238e-07
172	2	0	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
173	0	0	0	0	0	0	1	-0	0	0
174	3	2	70	128	16	3322	1.96333e-08	17.746	3.6073e-12	0.000183734
175	0	0	0	0	0	0	1	-0	0	0
176	2	1	53	103	14	1272	0.000797491	7.13404	5.85355e-08	7.33995e-05
177	1	0	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
178	3	2	5	5	4	1	0.964158	0.0365	3.23351e-07	3.35371e-07
179	1	1	4	4	3	1	0.970232	0.03022	2.70621e-07	2.78924e-07
180	0	0	0	0	0	0	1	-0	0	0
181	1	1	0	0	0	0	1	-0	0	0
182	0	0	0	0	0	0	1	-0	0	0
183	1	1	15	22	2	210	0.298448	1.20916	3.7007e-06	1.23998e-05
184	0	0	0	0	0	0	1	-0	0	0
185	1	0	4	4	4	0	0.975193	0.02512	2.20189e-07	2.2579e-07
186	1	1	3	3	3	0	0.981336	0.01884	1.66182e-07	1.69343e-07
187	1	1	2	2	2	0	0.987519	0.01256	1.11486e-07	1.12895e-07
188	1	1	25	43	4	780	0.0142922	4.24804	6.27016e-07	4.38711e-05
